# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
northbound	adj	If you are travelling northbound, you are travelling towards the north.
northeast	noun	Northeasth is the direction between north and east.
northeast	noun	The northeast is a place is the part that is to the north and east.
northeast	prep	In the direction northeast; to the northeast.
northeastern	adj	A northeastern state, corner, city, etc. is in the northeast.
northern	adj	If something is northern, it is in, from, or about the north.
northerner	noun	A northerner is a person or thing that is from the north of a place.
northerners	noun	The plural form of northerner; more than one (kind of) northerner.
northman	noun	A person from Scandinavia, especially one who raided into Britain and western Europe between the eighth and eleventh centuries; a Viking.
northmen	noun	The plural form of Northman; more than one (kind of) Northman.
northward	prep	Moving or facing north.
northwards	prep	moving or facing north.
northwest	noun	The direction in between north and west; northwest can be shortened to NW.
northwestern	adj	If somebody or something is northwestern, they are between north and west.
northwesternmost	adj	The superlative form of northwestern; most northwestern.
norwegian	adj	If something is Norwegian, it is about Norway or the people living there.
norwegian	noun	If someone is a Norwegian, he or she is from Norway.
norwegians	noun	The plural form of Norwegian; more than one (kind of) Norwegian.
nose	noun	The part of the face that sticks out and is used for breathing and smelling things.
nose	verb	If you nose, you move with caution.
nose	verb	If you nose you snoop.
nosed	verb	The past tense and past participle of nose.
noses	noun	The plural form of nose; more than one (kind of) nose.
noses	verb	The third-person singular form of nose.
nosey	adj	If you are nosey, you are curious in a negative way.
nosier	adj	The comparative form of nosy; more nosy.
nosiest	adj	The superlative form of nosy; most nosy.
nosing	verb	The present participle of nose.
nostalgic	adj	If you feel nostalgic, you are remembering something from the past and wishing you could experience it again.
nostalgic	adj	If something is nostalgic, it brings back memories of the past.
nostril	noun	A nostril is one of the two holes at the bottom of the nose.
nostrils	noun	The plural form of nostril; more than one (kind of) nostril.
nosy	adj	If you are nosy, you are curious in a negative way.
not	adv	"Not" makes a phrase have the opposite meaning.
not	adv	The item before "not" is more correct or better than the item after "not".
not	intj	Used to indicate the sentence before is sarcastic or ironic. This means that the sentence has the opposite meaning.
notabilities	noun	The plural form of notability; more than one (kind of) notability.
notability	noun	The notability of a person is how notable they are.
notable	adj	A person or a thing is notable if the person or thing is famous, important, significant. It means that many people know about that person or thing; many things have been said or written about that person or thing.
notably	adv	If something is notably done, it is worth noticing or is important that it was done.
notably	adv	You use notably to introduce a clear or important example.
notaries	noun	The plural form of notary; more than one (kind of) notary.
notarise	verb	If you notarise something, you witness the authenticity of a document and its accompanying signatures.
notarised	verb	The past tense and past participle of notarise.
notarises	verb	The third-person singular form of notarise.
notarising	verb	The present participle of notarise.
notarize	verb	If you notarize something, you witness the authenticity of a document and its accompanying signatures.
notarized	verb	The past tense and past participle of notarize.
notarizes	verb	The third-person singular form of notarize.
notarizing	verb	The present participle of notarize.
notary	noun	A notary is a lawyer who drafts legal documents and provides legal advice for private parties. They do not represent their client in court.
notation	noun	A notation is a few words written to explain something, usually as a note.
notations	noun	The plural form of notation; more than one (kind of) notation.
notch	noun	A notch is an indentation.
notch	noun	A notch is a deep and narrow mountain pass.
notch	verb	If you notch something, you cut a notch in it.
notched	verb	The past tense and past participle of notch.
notches	noun	The plural form of notch; more than one (kind of) notch.
notches	verb	The third-person singular form of notch.
notching	verb	The present participle of notch.
note	noun	A note is a single sound in music.
note	noun	A note is a short letter; something written on a small piece of paper.
note	verb	You note that something happened when you see that it happened and remember it.
notebook	noun	A notebook is a book with blank sheets that you can write or draw in.
notebook	noun	Sometimes laptop computers are called notebooks; this is not as common as calling them laptops.
notebooks	noun	The plural form of notebook; more than one (kind of) notebook.
noted	adj	If somebody is a noted person, they are well known.
noted	verb	The past tense and past participle of note.
notes	noun	The plural form of note; more than one (kind of) note.
notes	verb	The third-person singular form of note.
noteworthier	adj	The comparative form of noteworthy; more noteworthy.
noteworthies	noun	The plural form of noteworthy; more than one (kind of) noteworthy.
noteworthiest	adj	The superlative form of noteworthy; most noteworthy.
noteworthy	adj	Deserving attention; notable; worthy of notice.
noteworthy	noun	A noteworthy person.
nothing	det	Not anything. Without any things.
nothing	det	Empty. An area has nothing in it if it has no objects in it.
nothing	det	Without anything useful or interesting.
notice	verb	If you notice something, you become aware of it.
notice	noun	When you notice something
notice	noun	A notice is a piece of paper with information or a warning.
noticeable	adj	Something that is noticeable is very easily seen or noticed.
noticeably	adv	If something is done noticeably, it is done in a noticeable way.
noticeably	adv	If something is done noticeably, it is done in an extent where it is sufficient to be noticed.
noticed	verb	The past tense and past participle of notice.
notices	verb	The third-person singular form of notice.
notices	noun	The plural form of notice; more than one (kind of) notice.
noticing	verb	The present participle of notice.
notification	noun	A notification is a message that notifies you of something.
notifications	noun	The plural form of notification; more than one (kind of) notification.
notified	verb	The past tense and past participle of notify.
notifies	verb	The third-person singular form of notify.
notify	verb	If you notify someone, then you tell them or inform them of something.
notifying	verb	The present participle of notify.
noting	verb	The present participle of note.
notion	noun	A notion is an idea about something.
notions	noun	The plural form of notion; more than one (kind of) notion.
notorieties	noun	The plural form of notoriety; more than one (kind of) notoriety.
notoriety	noun	Notoriety is the state of being well-known, usually for something bad.
notorious	adj	If something is notorious, it is sadly or infamously known.
notwithstanding	prep	If something is true notwithstanding something else, it is true in spite of that other thing.
nought	noun	Nought is zero.
noughts	noun	The plural form of nought; more than one (kind of) nought.
noun	noun	A noun is a kind of word that is usually the name of a person, place, thing, quality, or idea. In English, nouns can be the subject or object of a sentence. They can be singular or plural.
nouns	noun	The plural form of noun; more than one (kind of) noun.
nourish	verb	If you nourish a baby, you feed and cause the baby grow.
nourished	verb	The past tense and past participle of nourish.
nourishes	verb	The third-person singular form of nourish.
nourishing	verb	The present participle of nourish.
nourishing	adj	If a food or drink is nourishing, it provides the person with nutrients.
nourishment	noun	Nourishment is the act of nourishing or the state of being nourished.
nourishment	noun	Nourishment is the food that is necessary for growth and health.
nourishments	noun	The plural form of nourishment; more than one (kind of) nourishment.
nov	abbrev	November (the month).
novate	verb	If you novate something, you replace it with something new.
novate	verb	If you novate a contract, you replace it with one or more new contracts.
novated	verb	The past tense and past participle of novate.
novates	verb	The third-person singular form of novate.
novating	verb	The present participle of novate.
novel	adj	Something that is novel is new and interesting.
novel	noun	A novel is a long story.
novelist	noun	A novelist is a person who writes novels, a collection of short stories.
novelists	noun	The plural form of novelist; more than one (kind of) novelist.
novella	noun	A novella is a short form of a book. It has between 7,500 and 40,000 words.
novellas	noun	The plural form of novella; more than one (kind of) novella.
novels	noun	The plural form of novel; more than one (kind of) novel.
novelties	noun	The plural form of novelty; more than one (kind of) novelty.
novelty	noun	A novelty is something that is new or unique.
novelty	noun	If something has novelty, it is new or unique.
novembers	noun	The plural form of November; more than one (kind of) November.
novemdecillion	det	The number 10⁶⁰.
novemdecillion	noun	The number 10⁶⁰.
novemdecillions	noun	The plural form of novemdecillion; more than one (kind of) novemdecillion.
novice	noun	A novice is a person who is new to a field or activity.
novices	noun	The plural form of novice; more than one (kind of) novice.
noviciate	noun	A noviciate is the period where a novice is trained for a religious position.
noviciates	noun	The plural form of noviciate; more than one (kind of) noviciate.
novitiate	noun	A novitiate is the period where a novice is trained for a religious position.
novitiates	noun	The plural form of novitiate; more than one (kind of) novitiate.
now	prep	You use now when you want to say that something is true at this time. It is also used for things a short time in the future or a short time in the past.
now	prep	You use now at the beginning of a sentence to get people's attention.
now	prep	You use now to refer to the present time, often in contrast to a time in the past or the future.
nowadays	adv	Now and recently; in this time.
nowhere	det	(in, at or to) no place
nowt	noun	Nowt means nothing, something that is empty and does not contain anything.
noxious	adj	If something is noxious, it is very unpleasant, disgusting and sickening.
nozzle	noun	A nozzle is a short tube that forms the vent of a hose or pipe.
nozzles	noun	The plural form of nozzle; more than one (kind of) nozzle.
nu	noun	Thirteenth letter of Greek.
nu	noun	Νν.
nuance	noun	A nuance is a minor difference.
nuance	verb	If you nuance to something, you give minor differences to it.
nuanced	verb	The past tense and past participle of nuance.
nuances	noun	The plural form of nuance; more than one (kind of) nuance.
nuances	verb	The third-person singular form of nuance.
nuancing	verb	The present participle of nuance.
nuclear	adj	Nuclear weapons, power, waste, etc. is produced by the collision of more than one nucleus, the central part of an atom.
nuclearise	verb	If something is nuclearised, it is armed with nuclear weapons.
nuclearised	verb	The past tense and past participle of nuclearise.
nuclearises	verb	The third-person singular form of nuclearise.
nuclearising	verb	The present participle of nuclearise.
nuclearize	verb	If something is nuclearized, it is armed with nuclear weapons.
nuclearized	verb	The past tense and past participle of nuclearize.
nuclearizes	verb	The third-person singular form of nuclearize.
nuclearizing	verb	The present participle of nuclearize.
nuclei	noun	The plural form of nucleus; more than one (kind of) nucleus.
nucleus	noun	A nucleus is the central part of something, such as a cell or an atom.
nucleuses	noun	The plural form of nucleus; more than one (kind of) nucleus.
nuclide	noun	A nuclide is a specific kind of atom defined by the exact number of protons and neutrons in its nucleus.
nuclides	noun	The plural form of nuclide; more than one (kind of) nuclide.
nudge	noun	A nudge gentle push.
nudge	verb	If you nudge someone or something, you push or push them gently to gain their attention or to give a signal.
nudged	verb	The past tense and past participle of nudge.
nudges	noun	The plural form of nudge; more than one (kind of) nudge.
nudges	verb	The third-person singular form of nudge.
nudging	verb	The present participle of nudge.
nudie	noun	A nudie is a person who practices nudism.
nudies	noun	The plural form of nudie; more than one (kind of) nudie.
nudist	noun	A nudist is a person who practices nudism.
nudists	noun	The plural form of nudist; more than one (kind of) nudist.
nugget	noun	A nugget is a small and compact piece of something, as in a gold nugget.
nugget	noun	A nugget is a small piece of something valuable.
nugget	noun	A nugget is a small bud from the Cannabis Sativa plant.
nuggets	noun	The plural form of nugget; more than one (kind of) nugget.
nuisance	noun	A nuisance is something or someone that bothers or annoys people.
nuisances	noun	The plural form of nuisance; more than one (kind of) nuisance.
nuke	noun	A nuke is another word for nuclear bomb.
nuke	verb	If someone nukes something, they use a nuclear bomb on that thing, usually a place or area.
nuke	verb	When you nuke something, you totally destroy it and have it completely removed.
nuked	verb	The past tense and past participle of nuke.
nukes	noun	The plural form of nuke; more than one (kind of) nuke.
nukes	verb	The third-person singular form of nuke.
nuking	verb	The present participle of nuke.
null	adj	If a law, contract, rule, etc. is null and void, it has no force.
null	noun	A null is a 0 or ∅.
null	noun	A null hypothesis is the idea that there is no relationship, effect, or difference in an experiment.
nulled	verb	The past tense and past participle of null.
nullified	verb	The past tense and past participle of nullify.
nullifies	verb	The third-person singular form of nullify.
nullify	verb	If you nullify something, you legally cancel or invalidate it.
nullifying	verb	The present participle of nullify.
nulling	verb	The present participle of null.
nulls	noun	The plural form of null; more than one (kind of) null.
nulls	verb	The third-person singular form of null.
numb	adj	If someone is numb, they cannot sense or feel something.
number	noun	A symbol that that is used to describe quantity; a numeral.
number	noun	A few.
number	noun	A section from a musical or theatrical work.
numbered	verb	The past tense and past participle of number.
numbering	verb	The present participle of number.
numbers	noun	The plural form of number; more than one (kind of) number.
numbers	verb	The third-person singular form of number.
numbest	adj	The superlative form of numb; most numb.
numerable	adj	If something is numerable, it can be counted.
numeral	noun	A numeral is a symbol or word that represents a number, such as the Arabic numerals 1, 2, 3 and the Roman numerals I, V, X, L.
numerals	noun	The plural form of numeral; more than one (kind of) numeral.
numerator	noun	In a fraction, the numerator is the top number. It tells you how many parts there are out of a whole.
numerators	noun	The plural form of numerator; more than one (kind of) numerator.
numeric	adj	Something that is a number or relates to numbers.
numerical	adj	Numerical values, data, results, etc. are expressed as or use numbers.
numerous	adj	If something is numerous, it is in large amount.
nun	noun	A nun is a member of a religious community of women who live under vows and usually wear a habit.
nunchaku	noun	A nunchaku is a kind of weapon with two short sticks connected at one end by a chain or rope.
nunchakus	noun	The plural form of nunchaku; more than one (kind of) nunchaku.
nunchuck	noun	A nunchuck is a kind of weapon with two short sticks connected at one end by a chain or rope.
nunchucks	noun	The plural form of nunchuck; more than one (kind of) nunchuck.
nunchuk	noun	A nunchuk is a kind of weapon with two short sticks connected at one end by a chain or rope.
nunchuks	noun	The plural form of nunchuk; more than one (kind of) nunchuk.
nunneries	noun	The plural form of nunnery; more than one (kind of) nunnery.
nunnery	noun	A nunnery is the place where a nun lives.
nuns	noun	The plural form of nun; more than one (kind of) nun.
nurse	noun	A nurse is a healthcare worker who helps doctors and helps sick or injured people with the activities of daily life.
nurse	noun	A nurse is a woman who takes care of other people's children.
nurse	noun	A wet nurse
nursed	verb	The past tense and past participle of nurse.
nurseries	noun	The plural form of nursery; more than one (kind of) nursery.
nursery	noun	A nursery is place where babies are kept.
nursery	noun	A nursery is place where young plants are grown before planting (putting in the ground) outdoors.
nurses	noun	The plural form of nurse; more than one (kind of) nurse.
nurses	verb	The third-person singular form of nurse.
nursing	adj	If a female is nursing, they are breastfeeding their young.
nursing	verb	The present participle of nurse.
nursing	noun	Nursing is the profession of caring for patients as a nurse.
nursings	noun	The plural form of nursing; more than one (kind of) nursing.
nurture	verb	To nurture is to protect something and be very careful with it, specially a baby or animal.
nurture	noun	Nurture are the things around a person (for example, his education or wealth) that makes him to be the way he is. The opposite is nature, the things that makes him the way he is because he was born that way (for example: his height).
nurtured	verb	The past tense and past participle of nurture.
nurtures	verb	The third-person singular form of nurture.
nurtures	noun	The plural form of nurture; more than one (kind of) nurture.
nurturing	verb	The present participle of nurture.
nus	noun	The plural form of nu; more than one (kind of) nu.
nut	noun	A nut is a kind of seed that usually grows on trees inside a hard shell and that people often eat.
nut	noun	A metal ring that is screwed onto a bolt (thick screw).
nut	noun	A crazy person.
nutcase	noun	A nutcase is an insane person.
nutcase	noun	A nutcase is an eccentric or odd person.
nutcases	noun	The plural form of nutcase; more than one (kind of) nutcase.
nutrient	noun	A nutrient is a something that is eaten for nourishment or energy.
nutrients	noun	The plural form of nutrient; more than one (kind of) nutrient.
nutrition	noun	nutrition is the organic process by which an organism takes in food for growth.
nutritional	adj	Relating to nutrients.
nutritional	adj	If a food is nutritional, it has a lot of nutrients.
nutritionist	noun	A nutritionist is an expert or specialist in nutrition.
nutritionists	noun	The plural form of nutritionist; more than one (kind of) nutritionist.
nutritions	noun	The plural form of nutrition; more than one (kind of) nutrition.
nutritious	adj	If a food or drink is nutritious, it provides the person with nutrients.
nutritive	adj	If something is nutritive, it is related to nutrition.
nutritive	adj	If a food or drink is nutritive, it provides the person with nutrients.
nuts	noun	The plural form of nut; more than one (kind of) nut.
nuts	adj	If a person is nuts, they are crazy or insane.
nuts	verb	The third-person singular form of nut.
nutshell	noun	The shell that surrounds the kernel (the hard part in the center) of a nut
nutshells	noun	The plural form of nutshell; more than one (kind of) nutshell.
nutted	verb	The past tense and past participle of nut.
nuttier	adj	The comparative form of nutty; more nutty.
nuttiest	adj	The superlative form of nutty; most nutty.
nuttiness	noun	The nuttiness of a food is how nutty it tastes.
nutting	verb	The present participle of nut.
nutty	adj	If something is nutty, it contains and tastes like nuts.
nutty	adj	A nutty person is someone who is crazy.
nuzzle	verb	If you nuzzle something, you push or rub it gently with your nose or mouth.
nuzzled	verb	The past tense and past participle of nuzzle.
nuzzles	verb	The third-person singular form of nuzzle.
nuzzling	verb	The present participle of nuzzle.
nylon	noun	Nylon is a type of synthetic polymer.
nylons	noun	The plural form of nylon; more than one (kind of) nylon.
nymph	noun	A nymph is an attractive young girl.
nymph	noun	A nymph is the larva of certain insects.
nymphs	noun	The plural form of nymph; more than one (kind of) nymph.
o'clock	prep	When saying a time, this means that it is zero minutes past the hour. O'clock is almost always given after the number of hours. It is short for of the clock.
oak	noun	Oak is a type of tree or the wood from one
oaks	noun	The plural form of oak; more than one (kind of) oak.
oar	noun	An oar is a pole with a flat blade, used to row a boat.
oars	noun	The plural form of oar; more than one (kind of) oar.
oases	noun	The plural form of oasis; more than one (kind of) oasis.
oasis	noun	A spring in a desert, where there is water and plant growth around the water.
oasis	noun	A quiet place apart from noise or bustle around the place.
oat	noun	Oat is a type of cereal used to make oat bread, flour, cake, etc.
oath	noun	An oath is a very serious promise.
oath	noun	An oath is a swear word or curse.
oaths	noun	The plural form of oath; more than one (kind of) oath.
oatmeal	noun	Oatmeal is a porridge like meal made of oats.
oats	noun	Oats are an edible grain.
obbies	noun	The plural form of obby; more than one (kind of) obby.
obby	noun	On Roblox, an obby is an obstacle course.
obby	noun	On RuneScape and Minecraft, obby is obsidian.
obedience	noun	The act of obeying orders from others.
obedience	noun	behavior in which you do what good person, father, boss, teacher, tells you to do.
obediences	noun	The plural form of obedience; more than one (kind of) obedience.
obedient	adj	An obedient person someone who is willing to do what others tells them to do.
obese	adj	Someone who is obese is extremely fat.
obesity	noun	Obesity is the state of being obese.
obey	verb	Obey is to do what a person tells you to do.
obeyed	verb	The past tense and past participle of obey.
obeying	verb	The present participle of obey.
obeys	verb	The third-person singular form of obey.
obfuscate	verb	If you obfuscate something, you make it dark or overshadow it.
obfuscate	verb	If you obfuscate a situation or comment, you deliberately make it more confusing so that you can hide the truth.
obfuscate	verb	If you obfuscate computer code, you change it so that it acts the same way but the code's structure and intent are hidden.
obfuscated	verb	The past tense and past participle of obfuscate.
obfuscates	verb	The third-person singular form of obfuscate.
obfuscating	verb	The present participle of obfuscate.
obfuscation	noun	Obfuscation is the action of making something obscure, unclear, or unintelligible.
obfuscations	noun	The plural form of obfuscation; more than one (kind of) obfuscation.
obituaries	noun	The plural form of obituary; more than one (kind of) obituary.
obituary	noun	An obituary is a death notice with information of someone who has died, usually published in a newspaper or in a booklet, given to people at funerals.
object	noun	An object is a thing that you can touch, but it is not alive.
object	noun	The object of an action or plan is the goal or the reason for it.
object	noun	The object is a type of complement in a verb phrase or preposition phrase with the form of a noun phrase.
objected	verb	The past tense and past participle of object.
objectified	verb	The past tense and past participle of objectify.
objectifies	verb	The third-person singular form of objectify.
objectify	verb	If you objectify something, you express it in a real form.
objectifying	verb	The present participle of objectify.
objecting	verb	The present participle of object.
objection	noun	Objection is used in a court room when the lawyer wants to say that something is wrong.
objection	noun	An objection is a statement of opposition.
objectionable	adj	If something is objectionable, you are likely to object to it.
objections	noun	The plural form of objection; more than one (kind of) objection.
objective	noun	An objective is something that you are trying to do.
objective	noun	An objective is a place you want to get to.
objective	adj	If something is objective, it is based on facts and things we can see and touch without using people's feelings.
objectively	adv	If you think about something objectively, you are not influenced by emotions or personal prejudices.
objectives	noun	The plural form of objective; more than one (kind of) objective.
objectivities	noun	The plural form of objectivity; more than one (kind of) objectivity.
objectivity	noun	Objectivity is the state of having objective thoughts and beliefs.
objects	noun	The plural form of object; more than one (kind of) object.
objects	verb	The third-person singular form of object.
objurgate	verb	If you objurgate someone, you criticize or scold them.
objurgated	verb	The past tense and past participle of objurgate.
objurgates	verb	The third-person singular form of objurgate.
objurgating	verb	The present participle of objurgate.
oblation	noun	An oblation is an offering for religious or charitable uses.
oblation	noun	Oblation is the act of making of an offering, now especially to a god or spirit.
oblations	noun	The plural form of oblation; more than one (kind of) oblation.
obligation	noun	An obligation is a duty, something you must do.
obligations	noun	The plural form of obligation; more than one (kind of) obligation.
obligatory	adj	If something is obligatory, it needs to be done as it is required by law or moral.
oblige	verb	If you are obliged to do something, a law, rule, or situation forces you to do it.
oblige	verb	If you oblige someone, you do something that they want you to do.
oblige	verb	If you tell someone that you'd be obliged if they did something, you're asking them to do it.
obliged	adj	To feel obligated to do something for someone, possibly because they have done a favor for you.
obliged	verb	The past tense and past participle of oblige.
obliges	verb	The third-person singular form of oblige.
obliging	adj	If someone is obliging, they are ready to do a favor.
obliging	verb	The present participle of oblige.
oblique	adj	An oblique line is slanted or angled, not vertical or horizontal.
oblique	adj	An oblique remark is indirect or not stated clearly.
obliterate	verb	If you obliterate something, you destroy or remove it completely and leave no trace.
obliterated	verb	The past tense and past participle of obliterate.
obliterates	verb	The third-person singular form of obliterate.
obliterating	verb	The present participle of obliterate.
oblivious	adj	A person who is oblivious of their surroundings is someone who is not aware of what happens around them.
oblong	noun	An oblong is a rectangle (a polygon with four straight sides and 4 right angles) which is not a square (the length and height are different).
oblongs	noun	The plural form of oblong; more than one (kind of) oblong.
obnoxious	adj	Something that is obnoxious is not very pleasant or good.
oboe	noun	An oboe is a woodwind musical instrument.
oboes	noun	The plural form of oboe; more than one (kind of) oboe.
obovate	adj	An obovate leaf is one that is shaped like an egg.
obovoid	adj	If something is obovoid, it is ovoid in shape, with the narrow end of the at the bottom of it.
obpyriform	adj	If something is obpyriform, it is shaped like a pear, only the top and the bottom of the design has been changed; the narrow part of the pear is on the bottom and the wider part of the pear is on top.
obscene	adj	If something is obscene, it is offensive to morality; it is vulgar; it is depraved.
obscene	adj	If something is obscene, it is lewd or lustful.
obscene	adj	If something is obscene, it is beyond all reason.
obscenely	adv	If something is done obscenely, it is done in an obscene manner.
obsceneness	noun	The obsceneness of something is how obscene it is.
obscener	adj	The comparative form of obscene; more obscene.
obscenest	adj	The superlative form of obscene; most obscene.
obscenities	noun	The plural form of obscenity; more than one (kind of) obscenity.
obscenity	noun	An obscenity is something that is obscene.
obscenity	noun	An obscenity is an act of obscene behaviour.
obscenity	noun	An obscenity is an offensive word.
obscure	adj	If something is obscure, it is not easy to understand.
obscure	adj	If something is obscure, it is not bright in color or appearance; it is dull or dark.
obscure	adj	If something is obscure, it is very hard to make out a clear image of it; it is faint; it is unclear or vague.
obscured	verb	The past tense and past participle of obscure.
obscurer	adj	The comparative form of obscure; more obscure.
obscures	verb	The third-person singular form of obscure.
obscurest	adj	The superlative form of obscure; most obscure.
obscuring	verb	The present participle of obscure.
obscurities	noun	The plural form of obscurity; more than one (kind of) obscurity.
obscurity	noun	Obscurity is darkness; the absence of light.
obscurity	noun	The state of being unclear, unknown, or hard to understand.
obsequious	adj	If you are obsequious, you are obedient.
obsequious	adj	An obsequious person likes to please people or to obey instructions excessively.
observable	adj	If something is observable, it can be observed.
observant	adj	An observant person is alert and pays close attention to their environment.
observant	adj	An observant Jew, Muslim, Catholic, etc. follows the rules of their religion.
observation	noun	Observation is the act of carefully seeing things that happen.
observation	noun	An observation is something someone saw, heard etc.
observations	noun	The plural form of observation; more than one (kind of) observation.
observatories	noun	The plural form of observatory; more than one (kind of) observatory.
observatory	noun	An observatory is a building where people can observe things related to space, such as stars and planets.
observe	verb	If you observe something, you see or notice it.
observe	verb	If you observe something, you watch it carefully.
observe	verb	If you observe something, usually a fact, you say or write it.
observed	verb	The past tense and past participle of observe.
observer	noun	An observer is somebody who watches something.
observers	noun	The plural form of observer; more than one (kind of) observer.
observes	verb	The third-person singular form of observe.
observing	verb	The present participle of observe.
obsess	verb	To obsess on/about/over someone or something means having an intense and compulsive interest in or worry about someone or something; to fixate on someone or something.
obsessed	verb	The past tense and past participle of obsess.
obsessed	adj	To be obsessed with someone or something means to be highly and compulsive interested in or worried about someone or something; to be fixated on someone or something.
obsessedness	noun	Obsessedness means how obsessed a person is with someone or something.
obsesses	verb	The third-person singular form of obsess.
obsessing	verb	The present participle of obsess.
obsession	noun	To have an obsession with someone or something means to have a strong and compulsive interest in or worry about someone or something; to have a fixation with/on someone or something.
obsessional	adj	Obsessional means when a person is obsessive about someone or something.
obsessionally	adv	Obsessionally means in an obsessive manner or to an obsessive degree.
obsessionist	noun	Obsessionist means a person who has an obsession with someone or something.
obsessionists	noun	The plural form of obsessionist; more than one (kind of) obsessionist.
obsessions	noun	The plural form of obsession; more than one (kind of) obsession.
obsessive	adj	To be obsessive about someone or something means tending to cause an obsession.
obsessively	adv	Obsessively means in an obsessive manner or to an obsessive degree.
obsessiveness	noun	Obsessivness means how obsessive a person is about someone or something.
obsessor	noun	Obsessor means a person who is obsessed with someone or something.
obsessors	noun	The plural form of obsessor; more than one (kind of) obsessor.
obsidian	noun	A black glass-like material made from cooled lava.
obsolescence	noun	If something is in obsolescence, it is no longer in use.
obsolescences	noun	The plural form of obsolescence; more than one (kind of) obsolescence.
obsolete	adj	If something is not used anymore, or if something newer replaced it, it is obsolete.
obstacle	noun	An obstacle is something that blocks your way.
obstacles	noun	The plural form of obstacle; more than one (kind of) obstacle.
obstinate	adj	strongly refusing to change your opinion
obstruct	verb	If something obstructs your way, it blocks your path from point A to point B.
obstructed	verb	The past tense and past participle of obstruct.
obstructing	verb	The present participle of obstruct.
obstruction	noun	An obstruction is something that blocks a path.
obstruction	noun	Obstruction is the act of blocking something.
obstructions	noun	The plural form of obstruction; more than one (kind of) obstruction.
obstructs	verb	The third-person singular form of obstruct.
obtain	verb	If you obtain something, you get it.
obtain	verb	If something obtains, it is true or it exists.
obtainable	adj	If something or someone is obtainable, it is able to be obtained or gotten.
obtained	verb	The past tense and past participle of obtain.
obtaining	verb	The present participle of obtain.
obtainment	noun	An obtainment is an act of obtaining something or someone; it is the attaining of something or someone.
obtainments	noun	The plural form of obtainment; more than one (kind of) obtainment.
obtains	verb	The third-person singular form of obtain.
obtuse	adj	If an angle is acute, it is more than 90 degrees but less than 180 degrees in size.
obtuser	adj	The comparative form of obtuse; more obtuse.
obtusest	adj	The superlative form of obtuse; most obtuse.
obvious	adj	If something is obvious, it is easy to see it, think of it, or understand it.
obviously	adv	If something is obviously true, then it is very easy to see that it is true.
ocarina	noun	An ocarina is a musical instrument that people blow into to play.
ocarinas	noun	The plural form of ocarina; more than one (kind of) ocarina.
occasion	noun	An occasion is a particular time.
occasion	noun	An occasion is a good time to do something.
occasion	noun	An occasion is a special time or event.
occasional	adj	Occasional things happen every now and then, but not often.
occasionally	adv	If something happens occasionally, then it happens sometimes, but not often.
occasioned	verb	The past tense and past participle of occasion.
occasioning	verb	The present participle of occasion.
occasions	noun	The plural form of occasion; more than one (kind of) occasion.
occult	adj	If something is occult it is hidden or secret—or it is about hidden or secret things.
occult	adj	If something is occult it is hidden or secret—or it is about hidden or secret things.
occult	adj	If something is occult it is hidden or secret—or it is about hidden or secret things.
occulted	verb	The past tense and past participle of occult.
occulting	verb	The present participle of occult.
occults	verb	The third-person singular form of occult.
occupancies	noun	The plural form of occupancy; more than one (kind of) occupancy.
occupancy	noun	Occupancy is the act of occupying a place as an occupant or tenant.
occupancy	noun	Occupancy is the time period of which someone occupies a piece of land or premises.
occupancy	noun	The occupancy of a building is how much of the building is occupied by tenants.
occupant	noun	An occupant is a person who lives or works in a place, such as a house or office.
occupants	noun	The plural form of occupant; more than one (kind of) occupant.
occupation	noun	An occupation is a job or a career.
occupation	noun	An occupation is when a people, especially an army, take over and stay in a country, area, building, etc.
occupation	noun	An occupation is a hobby or something else that you do to pass the time.
occupational	adj	About or by your job
occupations	noun	The plural form of occupation; more than one (kind of) occupation.
occupied	verb	The past tense and past participle of occupy.
occupies	verb	The third-person singular form of occupy.
occupy	verb	If something occupies a space, it is there, lives there, or belongs there.
occupy	verb	If a country or army occupies another country, it controls it.
occupy	verb	If you occupy a position, you do a job, or have a job title.
occupying	verb	The present participle of occupy.
occur	verb	If something occurs, it happens.
occur	verb	If something occurs to you, you suddenly think of it.
occurred	verb	The past tense and past participle of occur.
occurrence	noun	An occurrence is one case of something happening.
occurrences	noun	The plural form of occurrence; more than one (kind of) occurrence.
occurring	verb	The present participle of occur.
occurs	verb	The third-person singular form of occur.
ocd	abbrev	obsessive compulsive disorder.
ocean	noun	An ocean is a large area of salt water.
oceanic	adj	When something is oceanic, it is related to the ocean.
oceanic	adj	When an animal or plant is oceanic, it lives in the open sea and is pelagic.
oceanic	adj	When something is oceanic, it is similar to the ocean in terms of its size.
oceanographer	noun	A oceanographer is a person who studies oceanography as their work.
oceanographers	noun	The plural form of oceanographer; more than one (kind of) oceanographer.
